Symbol,Name,1D_Chart,Price_intraday,Change,Change_pct
^NFLY-EU,YIELDMAX NFLX OPTION INCOME STR,https://finance.yahoo.com/chart/%5ENFLY-EU,"13,291.83","+56,477.82",+130.78%
^IVOG-EU,Vanguard S&P Mid Cap 400 Growth,https://finance.yahoo.com/chart/%5EIVOG-EU,644.90,+365.35,+130.69%
^CHAU-EU,Direxion Shares ETF Trust Direx,https://finance.yahoo.com/chart/%5ECHAU-EU,9.81,+5.55,+130.28%
^FLUD-TC,FRANKLIN LIBERTY ULTRA SHORT BO,https://finance.yahoo.com/chart/%5EFLUD-TC,"255,051.41","+1,171,903.12",+127.82%
^PBDC-EU,PUTNAM BDC INCOME ETF ESTIMATED,https://finance.yahoo.com/chart/%5EPBDC-EU,"3,457.54","+16,331.90",+126.86%
^SPGP-TC,Invesco S&P 500 GARP ETF Total,https://finance.yahoo.com/chart/%5ESPGP-TC,59.67,+287.59,+126.18%
^VEMY-EU,Virtus Stone Harbor Emerging Ma,https://finance.yahoo.com/chart/%5EVEMY-EU,"2,551.14","+12,679.33",+125.19%
^WRND-EU,IQ GLOBAL EQUITY R&D LEADERS ET,https://finance.yahoo.com/chart/%5EWRND-EU,0.09,+0.05,+125.00%
^SDY-EU,SPDR S&P Dividend ETF (Estimate,https://finance.yahoo.com/chart/%5ESDY-EU,173.83,+871.80,+124.91%
^EGGY-EU,NESTYIELD DYNAMIC INCOME ETF ES,https://finance.yahoo.com/chart/%5EEGGY-EU,"99,216.10","+518,492.25",+123.66%
^RBLD-EU,FIRST TRUST ALERIAN US NEXTGEN,https://finance.yahoo.com/chart/%5ERBLD-EU,"6,841.47","+3,760.46",+122.05%
^DEEF-TC,Xtrackers FTSE Developed ex US,https://finance.yahoo.com/chart/%5EDEEF-TC,517.09,+520.44,+120.84%
^LRND-EU,IQ U.S. LARGE CAP R&D LEADERS E,https://finance.yahoo.com/chart/%5ELRND-EU,1.72,+0.94,+120.51%
^KOKU-EU,Xtrackers MSCI Kokusai Equity E,https://finance.yahoo.com/chart/%5EKOKU-EU,0.11,+0.06,+120.00%
^CSPSADRT,S&P China A-Share Dividend Oppo,https://finance.yahoo.com/chart/%5ECSPSADRT,"22,981.62","+12,502.60",+119.31%
^DFSE-TC,DIMENSIONAL EMERGING MARKETS SU,https://finance.yahoo.com/chart/%5EDFSE-TC,"1,787.21",+966.63,+117.80%
